genre,avg_budget,median_budget,avg_gross,median_gross,total_gross,avg_rating,avg_profit,median_profit,movie_count
Action,61595326.38,45000000.0,194187657.8,91036760.0,114764905761,6.37,132592331.42,47698495.0,591
Adventure,66871494.58,55000000.0,249317611.1,134481126.5,126653346441,6.36,182446116.52,70086028.0,508
Comedy,24437647.42,18000000.0,66619104.2,31947712.0,54227950817,6.14,42181456.78,12032261.0,814
Drama,22029957.82,15000000.0,57744735.14,20851717.5,71718961046,6.9,35714777.32,4859335.0,1242
Horror,17224167.79,10750000.0,67243598.38,35743950.5,20038592317,5.95,50019430.59,22346376.0,298
